SessionID,UserID,Timestamp,PageType,DeviceType,ReferralSource,TimeOnPage_seconds,ItemsInCart,Purchased
S1,U125,2024-10-14 23:45:05,Home,Mobile,Ads,43,0,0
S2,U189,2024-08-17 07:47:20,Home,Mobile,Direct,56,0,0
S3,U716,2024-01-11 07:19:59,Home,Desktop,Ads,33,0,0
S4,U325,2024-06-23 10:55:54,Home,Desktop,Direct,19,0,0
S5,U814,2024-06-13 03:03:06,Home,Mobile,Social,47,0,0
S6,U204,2024-02-06 00:27:14,Home,Mobile,Direct,12,0,0
S7,U926,2024-01-17 20:59:14,Product,Mobile,Social,94,1,0
S8,U180,2024-08-02 09:23:29,Home,Desktop,Social,15,0,0
S9,U691,2024-03-15 16:15:34,Product,Mobile,Direct,21,3,0
S10,U181,2024-11-28 04:08:20,Home,Mobile,Direct,28,0,0
S11,U266,2024-05-23 18:20:12,Home,Desktop,Ads,48,0,0
S12,U723,2024-09-03 14:25:35,Home,Desktop,Direct,34,0,0
S13,U376,2024-12-25 09:16:15,Product,Mobile,Ads,40,0,0
S14,U334,2024-11-15 03:45:19,Home,Mobile,Direct,37,0,0
S15,U680,2024-12-06 08:20:17,Product,Mobile,Direct,41,0,0
S16,U246,2024-04-12 20:51:43,Home,Desktop,Ads,48,0,0
S17,U697,2024-06-04 02:40:57,Home,Tablet,Direct,29,0,0
S18,U193,2024-10-20 12:24:01,Home,Mobile,Ads,53,0,0
S19,U710,2024-01-25 16:07:16,Home,Mobile,Direct,31,0,0
S20,U666,2024-11-30 07:02:53,Cart,Mobile,Social,199,3,0
S21,U887,2024-09-05 22:11:49,Home,Mobile,Direct,32,0,0
S22,U839,2024-12-06 03:32:27,Product,Tablet,Ads,70,1,0
S23,U208,2024-12-04 01:49:16,Product,Desktop,Ads,70,2,0
S24,U256,2024-05-25 05:07:46,Product,Mobile,Ads,37,1,0
S25,U100,2024-08-20 14:34:05,Home,Mobile,Social,8,0,0
S26,U345,2024-01-23 11:54:06,Home,Mobile,Direct,29,0,0
S27,U935,2024-01-27 21:06:26,Cart,Mobile,Ads,43,4,1
S28,U371,2024-07-23 22:16:34,Product,Mobile,Direct,72,1,0
S29,U873,2024-10-10 11:27:02,Product,Desktop,Direct,111,0,0
S30,U548,2024-12-15 09:00:39,Home,Mobile,Direct,51,0,0
S31,U121,2024-08-16 11:26:04,Home,Mobile,Direct,11,0,0
S32,U334,2024-01-27 04:12:59,Cart,Mobile,Direct,293,4,0
S33,U319,2024-07-28 10:01:28,Home,Tablet,Ads,51,0,0
S34,U348,2024-10-31 17:10:59,Home,Mobile,Direct,39,0,0
S35,U462,2024-06-13 12:02:20,Home,Desktop,Direct,18,0,0
S36,U162,2024-06-05 08:42:08,Product,Desktop,Direct,151,1,0
S37,U294,2024-07-27 06:32:43,Home,Mobile,Direct,6,0,0
S38,U995,2024-12-24 13:27:32,Home,Desktop,Social,10,0,0
S39,U151,2024-09-10 06:25:51,Cart,Tablet,Social,135,2,0
S40,U270,2024-06-06 20:03:12,Home,Mobile,Direct,8,0,0
S41,U268,2024-05-27 04:17:07,Home,Mobile,Social,58,0,0
S42,U392,2024-06-13 06:42:55,Product,Desktop,Ads,165,0,0
